¦C¼Æ,bd_id,oper,model,remark,trans_date,trans_time,
2322,	ABU084CC2003B       ,	2200,	UTC2000     ,	20211022-A-ABU084CC2003B-2200-Criteria  ,	20211023,	60916,
2323,	ABU084CC2004B       ,	2200,	UTC5000S    ,	20211028-C-ABU084CC2004B-2200-Criteria  ,	20211028,	132103,
2324,	ABU144C71006A       ,	2200,	UTC1000S    ,	20211022-A-ABU144C71006A-2200-Criteria  ,	20211023,	60931,
2325,	ACD054TN1001A       ,	2200,	UTC1000S    ,	20211022-A-ACD054TN1001A-2200-Criteria  ,	20211023,	60940,
2326,	ACD054TN1001A       ,	2200,	UTC2000     ,	20211022-A-ACD054TN1001A-2200-Criteria  ,	20211023,	60940,
2327,	AAB008YB2007A       ,	2200,	MAXUM-PLUS  ,	AAB008YB2007A-2200-Criteria             ,	20211023,	93934,
2328,	AAB008YB2007A       ,	2200,	MAXUM       ,	AAB008YB2007A-2200-Criteria             ,	20211023,	93934,
2329,	AAB008YQ2034A       ,	2200,	RAPID       ,	AAB008YQ2034A-2200-Criteria             ,	20211023,	102337,
2330,	ABU008YQ2003A       ,	2200,	MAXUM       ,	ABU008YQ2003A-2200-Criteria             ,	20211023,	102339,
2331,	ABU008YQ2003A       ,	2200,	ICONN-PLUS  ,	ABU008YQ2003A-2200-Criteria             ,	20211023,	102339,
2332,	AYS132X2C002A       ,	2200,	RAPID       ,	20211023-A-AYS132X2C002A-2200-Criteria  ,	20211023,	110005,
2333,	AAW008Y62024A       ,	2200,	RAPID       ,	20211023-B-AAW008Y62024A-2200-Criteria  ,	20211023,	111030,
2334,	AAB008Y62014A       ,	2200,	MAXUM-PLUS  ,	AAB008Y62014A-2200-Criteria             ,	20211025,	150101,
2335,	ACD096EF2001B       ,	2200,	UTC1000S    ,	20211023-A-ACD096EF2001B-2200-Criteria  ,	20211023,	181721,
2336,	ACD096EF2001B       ,	2200,	UTC2000     ,	20211023-A-ACD096EF2001B-2200-Criteria  ,	20211023,	181721,
2337,	ACD096EF2001B       ,	2200,	UTC3000     ,	20211023-A-ACD096EF2001B-2200-Criteria  ,	20211023,	181721,
2338,	ACD096EF2001B       ,	2200,	MAXUM-BASE  ,	20211023-A-ACD096EF2001B-2200-Criteria  ,	20211023,	181721,
2339,	AAS096EL1016A       ,	2200,	MAXUM-PLUS  ,	20211023-A-AAS096EL1016A-2200-Criteria  ,	20211023,	184413,
2340,	AAS096EL1016A       ,	2200,	MAXUM       ,	20211023-A-AAS096EL1016A-2200-Criteria  ,	20211023,	184413,
2341,	AAS096EL1016A       ,	2200,	ICONN       ,	20211023-A-AAS096EL1016A-2200-Criteria  ,	20211023,	184413,
2342,	AAB008Y62014A       ,	2200,	MAXUM       ,	AAB008Y62014A-2200-Criteria             ,	20211025,	150101,
2343,	AAB008Y62014A       ,	2200,	RAPID       ,	AAB008Y62014A-2200-Criteria             ,	20211025,	150101,
2344,	ANV153XT9078A       ,	2200,	UTC2000     ,	20211027-D-ANV153XT9078A-2200-Criteria  ,	20211027,	172214,
2345,	ABW052AC1003A       ,	2200,	MAXUM       ,	ABW052AC1003A-2200-Criteria             ,	20211024,	171941,
2346,	AAB008YQ2005A       ,	2200,	MAXUM       ,	AAB008YQ2005A-2200-Criteria             ,	20211024,	234629,
2347,	AAB008YQ2005A       ,	2200,	RAPID       ,	AAB008YQ2005A-2200-Criteria             ,	20211024,	234629,
2348,	AAB008YQ2005A       ,	3200,	MAXUM       ,	AAB008YQ2005A-3200-Criteria             ,	20211024,	234629,
2349,	AAB008YQ2005A       ,	3200,	RAPID       ,	AAB008YQ2005A-3200-Criteria             ,	20211024,	234629,
2350,	ACS054TS1012A       ,	2200,	UTC1000S    ,	ACS054TS1012A-2200-Criteria             ,	20211025,	150106,
2351,	ACS054TS1012A       ,	2200,	UTC2000     ,	ACS054TS1012A-2200-Criteria             ,	20211025,	150106,
2352,	ACS054TS1012A       ,	3200,	UTC1000S    ,	ACS054TS1012A-3200-Criteria             ,	20211025,	150106,
2353,	ACS054TS1012A       ,	3200,	UTC2000     ,	ACS054TS1012A-3200-Criteria             ,	20211025,	150106,
2354,	AZF044TU2002A       ,	2200,	UTC2000     ,	20211029-D-AZF044TU2002A-2200-Criteria  ,	20211029,	100221,
2355,	AZF044TU2001A       ,	2200,	UTC2000     ,	20211028-C-AZF044TU2001A-2200-Criteria  ,	20211028,	111744,
