pkg_type,process_id,version,detail_id,remark,
	T,	024XJ053       ,	 D,	S32000102,	A0801CB0533(UTC)                        ,
	T,	090NC061       ,	 G,	S22000102,	A0801CB0622                             ,
	T,	090NC064       ,	 F,	S22000102,	A0801CB0622(UTC)                        ,
	T,	090NC064       ,	 F,	S22000102,	A0803CB0622(KNS)                        ,
	T,	054NB037       ,	 E,	S22000102,	A0801CB0248                             ,
	T,	096EF033       ,	 G,	S22000102,	A0801CB1087(UTC)                        ,
	T,	096EF033       ,	 G,	S22000102,	A0803CB1087(KNS)                        ,
	T,	078EA001       ,	 E,	S22000102,	A0801CB1021(UTC)                        ,
	T,	096EA004       ,	 I,	S22000102,	A0801CB1021                             ,
	T,	084UC088       ,	 K,	S22000102,	A0801CB0660(UTC)                        ,
	T,	084UC088       ,	 K,	S22000102,	A0803CB0660(KNS)                        ,
	T,	084UC015       ,	 V,	S22000102,	A0801CB0641                             ,
	T,	096EF044       ,	 C,	S22000102,	A0801CB1211(UTC)                        ,
	T,	096EF044       ,	 C,	S32000102,	A0801CB1205(UTC)                        ,
	T,	032YF072       ,	 G,	S22000102,	A0803CB0634                             ,
	T,	036AB062       ,	 G,	S22000102,	A0803CB0430                             ,
	T,	072AF132       ,	 F,	S22000102,	A0803CB0424                             ,
	T,	008DR048       ,	 B,	S22000102,	A0801CB1137                             ,
	T,	008DR048       ,	 B,	S32000102,	A0801CB1137                             ,
	T,	054TN054       ,	 P,	S22000102,	A0801CB0515(UTC)                        ,
	T,	054TN054       ,	 P,	S22000102,	A0803CB0515(KNS)                        ,
	T,	054TN074       ,	 J,	S22000102,	A0801CB0756 (UTC)                       ,
	T,	054TN074       ,	 J,	S22000102,	A0803CB0756 (KNS)                       ,
	T,	054MF005       ,	 F,	S22000102,	A0801CB0514                             ,
	T,	096EF006       ,	 J,	S22000102,	A0801CB0889(UTC)                        ,
	T,	096EF006       ,	 J,	S22000102,	A0803CB0889(KNS)                        ,
	T,	066TN065       ,	 J,	S22000102,	A0801CB0511 (UTC)                       ,
	T,	066TN065       ,	 J,	S22000102,	A0803CB0511 (KNS)                       ,
	T,	054TS043       ,	 D,	S22000102,	A0801CB0960 (UTC)                       ,
	T,	054TS043       ,	 D,	S32000102,	A0801CB0960(UTC)                        ,
	T,	048TR122       ,	 C,	S22000102,	A0801CB1192(UTC)                        ,
	T,	048TR122       ,	 C,	S22000102,	A0803CB1192(KNS)                        ,
	T,	048TR124       ,	 D,	S22000102,	A0801CB1192(UTC)                        ,
	T,	048TR124       ,	 D,	S22000102,	A0803CB1192(KNS)                        ,
	T,	0282L047       ,	 G,	S22000102,	A0803CB1001(KNS)                        ,
	T,	0343A010       ,	 C,	S22000102,	A0803CB1094(KNS)                        ,
