ENTITY,MODEL,STATUS,LOT#,OPER,PRODUCT,BOND ID,OUTPLAN,IN TIME,CUST,PIN_PKG,WIP
BB575,UTC1000S,RUNNING,P45MSEQ10,2200,048TWMS046,AMS048TW1037A,21-11-12 15:40,21-11-12 10:57,MTI,TSOP1-48AM,2160
BB576,UTC1000S,RUNNING,P46MSBA01,2200,078U9MS017,AMS078C93001B,21-11-13 05:05,21-11-12 04:27,MTI,FBGA-78U9,6648
BB577,UTC1000S,RUNNING,P45ABGI09,2200,054TNAB041,AAB054TN1005A,21-11-12 21:54,21-11-12 11:36,WINBOND,TSOP2-54ME,2880
BB578,UTC1000S,PM,,,,AAW052XY1002A,21-11-12 16:51,21-11-12 12:51,,,
BB579,UTC1000S,RUNNING,P45ABHK01,2200,060EMAB003,AAB060EM2002A,21-11-12 18:42,21-11-11 21:11,WINBOND,FBGA60UEM2-1,6239
BB580,UTC1000S,RUNNING,P45ABGI05,2200,054TNAB041,AAB054TN1005A,21-11-12 22:51,21-11-12 12:33,WINBOND,TSOP2-54ME,2880
BB581,UTC1000S,RUNNING,P45ABLM07,2200,024MAAB028,AAB024MA5012A,21-11-12 17:28,21-11-12 11:56,WINBOND,MINIBGA24A2L,8640
BB582,UTC1000S,WAIT-REPAIR,P45CDAR03,2200,054TNCD021,ACD054TN1001A,21-11-12 15:23:35,21-11-12 11:11,ETRON,TSOP2-54ME,2880
BB583,UTC1000S,RUNNING,P45MSD504,2200,048TWMS080,AMS048TW1065A,21-11-12 18:48,21-11-12 13:07,MTI,TSOP1-48AM,2160
BB584,UTC1000S,RUNNING,P45ABHM01,2200,060EMAB003,AAB060EM2002A,21-11-13 10:29,21-11-12 08:00,WINBOND,FBGA60UEM2-1,7680
BB585,UTC1000S,RUNNING,P45AWEN01,2200,024MAAW023,AAW024MA6013C,21-11-12 16:14,21-11-12 13:26,MXIC,MINIBGA24A3L,3683
BB586,UTC1000S,IDLE,,,,AMS078EN1002A,,21-11-10 09:42,,,
BB587,UTC1000S,RUNNING,P45AWDC02,2200,052XYAW004,AAW052XY1002A,21-11-13 20:14,21-11-12 13:02,MXIC,STBGA52D4L,5689
BB588,UTC1000S,ENG,,,,AMS078C93001B,21-11-12 13:23,21-11-12 13:23,,,
BB589,UTC1000S,RUNNING,P45CDAR02,2200,054TNCD021,ACD054TN1001A,21-11-12 11:37,21-11-11 23:12,ETRON,TSOP2-54ME,2880
BB590,UTC1000S,RUNNING,P45ABAR01,2200,060NRAB016,AAB060NR1007A,21-11-13 03:41,21-11-12 13:11,WINBOND,VFBGA60B4L,5680
BB591,UTC1000S,IDLE,,,,AMS078EN1002A,,21-11-10 12:44,,,
BB592,UTC1000S,RUNNING,P45CDBT03,2200,066TNCD012,CD066TA1007A,21-11-12 19:39,21-11-11 21:55,ETRON,TSOP2-66ME,2880
BB593,UTC1000S,RUNNING,P45CDAR07,2200,054TNCD021,ACD054TN1001A,21-11-12 19:28,21-11-12 07:03,ETRON,TSOP2-54ME,2880
BB594,UTC1000S,RUNNING,P45CDAS06,2200,054TNCD021,ACD054TN1001A,21-11-12 23:09,21-11-12 10:44,ETRON,TSOP2-54ME,2880
BB595,UTC1000S,RUNNING,P45CDAS09,2200,054TNCD021,ACD054TN1001A,21-11-13 00:14,21-11-12 11:50,ETRON,TSOP2-54ME,2880
BB596,UTC1000S,RUNNING,P45AWDB03,2200,052XYAW004,AAW052XY1002A,21-11-13 03:25,21-11-11 20:04,MXIC,STBGA52D4L,5720
BB597,UTC1000S,RUNNING,P46MSBI05,2200,078U9MS017,AMS078C93001B,21-11-13 12:52,21-11-12 11:58,MTI,FBGA-78U9,6720
BB598,UTC1000S,IDLE,,,,AMS078EN1001A,,21-11-11 14:47,,,
