OPER,CUST,B/D#,MODEL,G.UPH
2200,ISSI-VG,ABU153XT9005A,ICONN-PLUS,0.0000
2200,ISSI-VG,ABU153XT9005A,MAXUM-CU,0.0000
2200,ISSI-VG,ABU153XT9005A,MAXUM-PLUS,0.0000
2200,ISSI-VG,ABU153XT9005A,RAPID,0.0000
2200,ISSI-VG,ABU153XT9005A,MAXUM-BASE,0.0000
2200,WINBOND,AAB0083X1001A,UTC2000,0.0000
2200,WINBOND,AAB0083X1001A,UTC3000,0.0000
2200,WINBOND,AAB0083X1001A,UTC1000,0.0000
2200,WINBOND,AAB0083X1001A,UTC2000S,0.0000
2200,WINBOND,AAB0083X1001A,UTC1000S,943.2143
2200,ENG,ANV0086A1008A,,0.0000
2200,ENG,ANV0086A1008A,,0.0000
2200,ENG,ANV0086A1008A,,0.0000
2200,ENG,ANV0086A1008A,,0.0000
2200,ENG,ANV0086A1008A,,0.0000
2200,ENG,ANV0086A1008A,,0.0000
2200,ENG,ANV0086A1008A,,0.0000
2200,PHISON,ANV0086A1051A,MAXUM-CU,0.0000
2200,PHISON,ANV0086A1051A,RAPID,253.6886
2200,PHISON,ANV0086A1051A,ICONN-PLUS,149.1262
2200,PHISON,ANV0086A1051A,MAXUM-PLUS,173.9078
2200,PHISON,ANV0086A1051A,MAXUM-BASE,144.4007
2200,PHISON,ANV0086A1051A,MAXUM,148.9411
2200,PHISON,ANV0086A1051A,ICONN,149.1262
2200,PHISON,ANV0086A1040A,MAXUM-PLUS,193.6460
2200,PHISON,ANV0086A1040A,MAXUM-CU,0.0000
2200,PHISON,ANV0086A1040A,MAXUM,184.1373
2200,PHISON,ANV0086A1040A,MAXUM-BASE,0.0000
2200,PHISON,ANV0086A1040A,ICONN,0.0000
2200,PHISON,ANV0086A1040A,RAPID,0.0000
2200,PHISON,ANV0086A1040A,ICONN-PLUS,0.0000
2200,PHISON,ANV0086A1065A,MAXUM-BASE,194.9041
2200,PHISON,ANV0086A1065A,ICONN-PLUS,249.2967
2200,PHISON,ANV0086A1065A,MAXUM,170.2077
2200,PHISON,ANV0086A1065A,ICONN,236.9883
2200,PHISON,ANV0086A1065A,MAXUM-PLUS,150.0586
2200,PHISON,ANV0086A1065A,MAXUM-CU,0.0000
2200,PHISON,ANV0086A1065A,RAPID,175.3478
2200,PHISON,ANV0086A1069A,ICONN,236.9883
2200,PHISON,ANV0086A1069A,ICONN-PLUS,249.2967
2200,PHISON,ANV0086A1069A,RAPID,261.6160
2200,PHISON,ANV0086A1069A,MAXUM-PLUS,143.9388
2200,PHISON,ANV0086A1069A,MAXUM,225.2728
2200,PHISON,ANV0086A1069A,MAXUM-CU,0.0000
2200,PHISON,ANV0086A1069A,MAXUM-BASE,194.9041
2200,PHISON,ANV0086A1070A,MAXUM-PLUS,152.5383
2200,PHISON,ANV0086A1070A,ICONN-PLUS,249.2967
2200,PHISON,ANV0086A1070A,RAPID,180.7172
2200,PHISON,ANV0086A1070A,ICONN,236.9883
2200,PHISON,ANV0086A1070A,MAXUM,182.6426
2200,PHISON,ANV0086A1070A,MAXUM-BASE,194.9041
2200,PHISON,ANV0086A1070A,MAXUM-CU,0.0000
2200,PHISON,ANV0086A1071A,MAXUM,172.9886
2200,PHISON,ANV0086A1071A,MAXUM-BASE,194.9041
2200,PHISON,ANV0086A1071A,MAXUM-CU,0.0000
2200,PHISON,ANV0086A1071A,MAXUM-PLUS,122.1555
2200,PHISON,ANV0086A1071A,ICONN-PLUS,249.2967
2200,PHISON,ANV0086A1071A,ICONN,236.9883
2200,PHISON,ANV0086A1071A,RAPID,261.6160
2200,PHISON,ANV0086A1071A,RAPID,261.6160
2200,PHISON,ANV0086A1071A,ICONN-PLUS,249.2967
2200,PHISON,ANV0086A1071A,ICONN,236.9883
2200,PHISON,ANV0086A1071A,MAXUM-PLUS,122.1555
2200,PHISON,ANV0086A1071A,MAXUM,172.9886
2200,PHISON,ANV0086A1071A,MAXUM-BASE,194.9041
2200,PHISON,ANV0086A1071A,MAXUM-CU,0.0000
2200,PHISON,ANV0086A1065A,MAXUM-PLUS,150.0586
2200,PHISON,ANV0086A1065A,ICONN-PLUS,249.2967
2200,PHISON,ANV0086A1065A,ICONN,236.9883
2200,PHISON,ANV0086A1065A,RAPID,175.3478
2200,PHISON,ANV0086A1065A,MAXUM,170.2077
2200,PHISON,ANV0086A1065A,MAXUM-BASE,194.9041
2200,PHISON,ANV0086A1065A,MAXUM-CU,0.0000
2200,PHISON,ANV0086A1069A,MAXUM,225.2728
2200,PHISON,ANV0086A1069A,MAXUM-BASE,194.9041
2200,PHISON,ANV0086A1069A,ICONN,236.9883
2200,PHISON,ANV0086A1069A,MAXUM-CU,0.0000
2200,PHISON,ANV0086A1069A,RAPID,261.6160
2200,PHISON,ANV0086A1069A,MAXUM-PLUS,143.9388
2200,PHISON,ANV0086A1069A,ICONN-PLUS,249.2967
2200,PHISON,ANV0086A1070A,ICONN-PLUS,249.2967
2200,PHISON,ANV0086A1070A,MAXUM-PLUS,152.5383
2200,PHISON,ANV0086A1070A,RAPID,180.7172
2200,PHISON,ANV0086A1070A,MAXUM-CU,0.0000
2200,PHISON,ANV0086A1070A,ICONN,236.9883
2200,PHISON,ANV0086A1070A,MAXUM-BASE,194.9041
2200,PHISON,ANV0086A1070A,MAXUM,182.6426
2200,ENG,ANV0086B1004A,MAXUM-BASE,0.0000
2200,ENG,ANV0086B1004A,MAXUM,0.0000
2200,ENG,ANV0086B1004A,MAXUM-PLUS,0.0000
2200,ENG,ANV0086B1004A,ICONN-PLUS,0.0000
2200,ENG,ANV0086B1004A,RAPID,0.0000
2200,ENG,ANV0086B1004A,ICONN,59.9195
2200,ENG,ANV0086B1004A,MAXUM-CU,0.0000
2200,ChipMOS,AAS008DR1006A,MAXUM,887.6332
2200,ChipMOS,AAS008DR1006A,MAXUM-BASE,339.7595
2200,ChipMOS,AAS008DR1006A,RAPID,0.0000
2200,ChipMOS,AAS008DR1006A,ICONN-PLUS,455.9427
2200,ChipMOS,AAS008DR1006A,MAXUM-PLUS,373.6095
2200,ChipMOS,AAS008DR1006A,MAXUM-CU,0.0000
2200,ChipMOS,AAS008DR1006A,ICONN,455.9427
2200,ETRON,ACD008DR1031A,UTC1000S,0.0000
2200,ETRON,ACD008DR1031A,UTC2000,268.6275
2200,ETRON,ACD008DR1031A,UTC2000S,0.0000
2200,ETRON,ACD008DR1031A,UTC3000,0.0000
2200,ETRON,ACD008DR1031A,UTC1000,0.0000
2200,ENG,AAS008DR1004A,RAPID,0.0000
2200,ENG,AAS008DR1004A,ICONN,0.0000
2200,ENG,AAS008DR1004A,MAXUM-CU,0.0000
2200,ENG,AAS008DR1004A,MAXUM-BASE,0.0000
2200,ENG,AAS008DR1004A,MAXUM,1587.3964
2200,ENG,AAS008DR1004A,MAXUM-PLUS,0.0000
2200,ENG,AAS008DR1004A,ICONN-PLUS,0.0000
2200,ENG,AAS008DR1006A,ICONN,0.0000
2200,ENG,AAS008DR1006A,MAXUM,887.6332
2200,ENG,AAS008DR1006A,ICONN-PLUS,0.0000
2200,ENG,AAS008DR1006A,MAXUM-BASE,0.0000
2200,ENG,AAS008DR1006A,RAPID,0.0000
2200,ENG,AAS008DR1006A,MAXUM-CU,0.0000
2200,ENG,AAS008DR1006A,MAXUM-PLUS,0.0000
2200,ChipMOS,AAS008FG1010A,MAXUM-CU,0.0000
2200,ChipMOS,AAS008FG1010A,MAXUM-PLUS,1039.9078
2200,ChipMOS,AAS008FG1010A,MAXUM-BASE,0.0000
2200,ChipMOS,AAS008FG1010A,ICONN,1156.8699
2200,ChipMOS,AAS008FG1010A,ICONN-PLUS,0.0000
2200,ChipMOS,AAS008FG1010A,MAXUM,1120.8510
2200,ChipMOS,AAS008FG1010A,RAPID,1517.8056
2200,ChipMOS,AAS008FG1003A,MAXUM-CU,0.0000
2200,ChipMOS,AAS008FG1003A,MAXUM-BASE,991.2317
2200,ChipMOS,AAS008FG1003A,MAXUM,1131.4190
