bd_id,cust,end_time,entity,lot_number,part_id,part_no,pin_pkg,prod_id,qty,start_time
AAB054TN1005A,WINBOND,200.000000,BB523,P15ABGR12,1091A07T21,A0803CB0808 ,TSOP2-54ME,054TNAB041,0,0.000000
AMS048TW1058A,MTI,266.000000,BB525,P13MSBL03,1091A07T41,A0801CB0616,TSOP1-48AM,048TWMS068,0,0.000000
AAB054TN1005A,WINBOND,188.000000,BB526,P15ABGR15,1091A07T21,A0803CB0808 ,TSOP2-54ME,054TNAB041,0,0.000000
ABU054MF2001B,ICSI,348.000000,BB527,P15BUCK04,1091A08C21,A0803CB0514,MINIBGA54A4L,054MFBU005,0,0.000000
ABU096EF2001A,ICSI,554.000000,BB528,P15BUCR06,1091A07T21,A0801CB1087,FBGA-96UEF,096EFBU001,0,0.000000
AMS096EF2001A,MTI,460.000000,BB529,P15MSCP08,1091A06T21,A0803CB1265,FBGA-96UEF,096EFMS002,0,0.000000
AMS096EF2001A,MTI,458.000000,BB530,P15MSCP07,1091A06T21,A0803CB1265,FBGA-96UEF,096EFMS002,0,0.000000
AAB084CC9002A,WINBOND,491.000000,BB531,P16ABBG01,1091A07T21,A0803CB1250,FBGA-84UC2H,084UCAB028,0,0.000000
AMS078EN1001A,MTI,925.000000,BB532,P15MSBN08,1091A06T21,A0803CB1169,FBGA-78UEN,078ENMS009,0,0.000000
ABU096EF2001A,ICSI,1035.000000,BB534,P15BUCN01,1091A07T21,A0801CB1087,FBGA-96UEF,096EFBU001,0,0.000000
AMS078EN1001A,MTI,206.000000,BB535,P15MSBK08,1091A06T21,A0803CB1169,FBGA-78UEN,078ENMS009,0,0.000000
AAB048TW2006A,WINBOND,49.000000,BB536,P14ABNM10,1091A07T21,A0803CB0850 ,TSOP1-48AM,048TWAB012,0,0.000000
AAB096EF3001A,WINBOND,143.000000,BB537,P15ABI901,1091A07T21,A0801CB1257,FBGA96UEF3-2,096EFAB009,0,0.000000
ACS054TN1003A,CYPRESS,0.000000,BB538,P14CSJA01,1091A07C41,A0801CB0942,TSOP2-54ME,054TNCS005,0,0.000000
AMS078EN1001A,MTI,254.000000,BB539,P15MSBN03,1091A06T21,A0803CB1169,FBGA-78UEN,078ENMS009,0,0.000000
AB060NR1001A,WINBOND,717.000000,BB540,P15ABJG04,1091A08T21,A0801CB0569,VFBGA60B4L,060NRAB001,0,0.000000
AAB096EL1002A,WINBOND,1108.000000,BB541,P16ABA101,1091A07T21,A0801CB1092,FBGA96UEL(2),096ELAB015,0,0.000000
AMS096EF2001A,MTI,385.000000,BB542,P15MSCP09,1091A06T21,A0803CB1265,FBGA-96UEF,096EFMS002,0,0.000000
AAB048TW2006A,WINBOND,99.000000,BB543,P14ABNM11,1091A07T21,A0803CB0850 ,TSOP1-48AM,048TWAB012,0,0.000000
AMS078EN1001A,MTI,498.000000,BB544,P15MSEC02,1091A06T21,A0803CB1169,FBGA-78UEN,078ENMS009,0,0.000000
AYZ096EF2001A,ZJP,1405.000000,BB545,P15YZA303,1091A07T21,A0801CB1087,FBGA-96UEF,096EFYZ001,0,0.000000
ABU048TP2003B,ICSI,178.000000,BB546,P14BUCE03,1091A09C21,A0801CB0912,TSOP1-48/48M,048TPBU013,0,0.000000
AAB054TN1005A,WINBOND,609.000000,BB550,P15ABGS02,1091A07T21,A0803CB0808 ,TSOP2-54ME,054TNAB041,0,0.000000
AYZ084CC2002A,ZJP,267.000000,BB551,P10YZAQ03,1091A08T21,A0801CB1043,FBGA-84UC(2),084UCYZ002,0,0.000000
AMS048TW1037A,MTI,285.000000,BB552,P15MSFR23,1091A07T41,A0801CB1150,TSOP1-48AM,048TWMS046,0,0.000000
ABU048MA7001A,ICSI,50.000000,BB553,P13BUHU02,1091A07C21,A0801CB1057,MINIBGA48J3U,048MABU068,0,0.000000
AAB096EF3001A,WINBOND,545.000000,BB554,P15ABI803,1091A07T21,A0801CB1257,FBGA96UEF3-2,096EFAB009,0,0.000000
AMS096EC1002A,MTI,0.000000,BB555,P15MSHQ04,1091A06T41,A0803CB0644 ,FBGA-96UEC,096ECMS003,0,0.000000
AYZ096EF2001A,ZJP,1145.000000,BB556,P15YZA307,1091A07T21,A0801CB1087,FBGA-96UEF,096EFYZ001,0,0.000000
ALW132NY4041A,MTI-S,277.000000,BB557,P09LWA802,1091A06C21,A0803CB1176,VFBGA132BEU,132NYLW062,0,0.000000
AMS078EN1001A,MTI,520.000000,BB558,P15MSEB05,1091A06T21,A0803CB1169,FBGA-78UEN,078ENMS009,0,0.000000
AYZ096EF2001A,ZJP,1468.000000,BB559,P15YZA305,1091A07T21,A0801CB1087,FBGA-96UEF,096EFYZ001,0,0.000000
AYZ096EF2001A,ZJP,341.000000,BB560,P15YZA302,1091A07T21,A0801CB1087,FBGA-96UEF,096EFYZ001,0,0.000000
AYZ084CC2002A,ZJP,157.000000,BB561,P10YZAQ02,1091A08T21,A0801CB1043,FBGA-84UC(2),084UCYZ002,0,0.000000
AMS078EN1001A,MTI,483.000000,BB562,P15MSBL06,1091A06T21,A0803CB1169,FBGA-78UEN,078ENMS009,0,0.000000
AYZ084CC2002A,ZJP,0.000000,BB563,P10YZAN06,1091A08T21,A0801CB1043,FBGA-84UC(2),084UCYZ002,0,0.000000
AAW048TP1024D,MXIC,245.000000,BB564,P15AWET19,1091A08T41,A0803CB0831 ,TSOP1-48/48M,048TPAW056,0,0.000000
AYZ084CC2002A,ZJP,170.000000,BB565,P10YZAQ01,1091A08T21,A0801CB1043,FBGA-84UC(2),084UCYZ002,0,0.000000
ABU054MF2001B,ICSI,293.000000,BB566,P15BUCK01,1091A08C21,A0803CB0514,MINIBGA54A4L,054MFBU005,0,0.000000
AYZ084CC2002A,ZJP,148.000000,BB567,P10YZAQ05,1091A08T21,A0801CB1043,FBGA-84UC(2),084UCYZ002,0,0.000000
AAB054NB2001A,WINBOND,0.000000,BB568,P15ABEA02,1091A08T21,A0801CB0248,VFBGA54B4,054NBAB002,0,0.000000
AAB096EL1002A,WINBOND,1414.000000,BB569,P16ABBJ04,1091A07T21,A0801CB1092,FBGA96UEL(2),096ELAB015,0,0.000000
AYZ084CC2002A,ZJP,445.000000,BB570,P10YZAN10,1091A08T21,A0801CB1043,FBGA-84UC(2),084UCYZ002,0,0.000000
AYZ084CC2002A,ZJP,349.000000,BB572,P10YZAN11,1091A08T21,A0801CB1043,FBGA-84UC(2),084UCYZ002,0,0.000000
AAB054TN1005A,WINBOND,0.000000,BB573,P15ABGR08,1091A07T21,A0803CB0808 ,TSOP2-54ME,054TNAB041,0,0.000000
AYZ096EF2001A,ZJP,834.000000,BB574,P15YZA306,1091A07T21,A0801CB1087,FBGA-96UEF,096EFYZ001,0,0.000000
AMS048TW1058A,MTI,138.000000,BB575,P13MSBL08,1091A07T41,A0801CB0616,TSOP1-48AM,048TWMS068,0,0.000000
AMS048TW1058A,MTI,146.000000,BB576,P13MSBL09,1091A07T41,A0801CB0616,TSOP1-48AM,048TWMS068,0,0.000000
AMS048TW1037A,MTI,183.000000,BB577,P15MSFR19,1091A07T41,A0801CB1150,TSOP1-48AM,048TWMS046,0,0.000000
AMS048TW1058A,MTI,205.000000,BB578,P13MSBL11,1091A07T41,A0801CB0616,TSOP1-48AM,048TWMS068,0,0.000000
AAB096EL1002A,WINBOND,255.000000,BB579,P16ABA802,1091A07T21,A0801CB1092,FBGA96UEL(2),096ELAB015,0,0.000000
AAW063NW3001B,MXIC,507.000000,BB580,P16AWAK03,1091A07T41,A0801CB1232,VFBGA63BAU,063NWAW001,0,0.000000
ABU054MF2001B,ICSI,429.000000,BB581,P15BUCK03,1091A08C21,A0803CB0514,MINIBGA54A4L,054MFBU005,0,0.000000
AMS048TW1037A,MTI,198.000000,BB582,P15MSFR17,1091A07T41,A0801CB1150,TSOP1-48AM,048TWMS046,0,0.000000
ACD084CC2002A,ETRON,752.000000,BB583,P16CDA301,1091A07T41,A0803CB0660 ,FBGA-84UC(2),084UCCD006,0,0.000000
AAB096EL1002A,WINBOND,27.000000,BB584,P16ABA410,1091A07T21,A0801CB1092,FBGA96UEL(2),096ELAB015,0,0.000000
AAB096EL1002A,WINBOND,905.000000,BB585,P16ABBJ01,1091A07T21,A0801CB1092,FBGA96UEL(2),096ELAB015,0,0.000000
AYZ084CC2002A,ZJP,512.000000,BB586,P10YZAN03,1091A08T21,A0801CB1043,FBGA-84UC(2),084UCYZ002,0,0.000000
AYZ084CC2002A,ZJP,420.000000,BB587,P10YZAD02,1091A08T21,A0801CB1043,FBGA-84UC(2),084UCYZ002,0,0.000000
AMS048TW1058A,MTI,295.000000,BB589,P13MSBL10,1091A07T41,A0801CB0616,TSOP1-48AM,048TWMS068,0,0.000000
AMS078EN1001A,MTI,0.000000,BB590,P14MSH506,1091A06T21,A0803CB1169,FBGA-78UEN,078ENMS009,0,0.000000
AMS078EN1001A,MTI,616.000000,BB591,P15MSBL05,1091A06T21,A0803CB1169,FBGA-78UEN,078ENMS009,0,0.000000
ALW152N31017A,MTI-S,143.000000,BB592,P08LWAM09,1091A06C21,A0803CB0748,VFBGA152BAL,152N3LW046,0,0.000000
AMS078EN1001A,MTI,414.000000,BB594,P15MSEM05,1091A06T21,A0803CB1169,FBGA-78UEN,078ENMS009,0,0.000000
AMS096EF2001A,MTI,406.000000,BB595,P16MSC502,1091A06T21,A0803CB1265,FBGA-96UEF,096EFMS002,0,0.000000
AMS096EF2001A,MTI,84.000000,BB596,P15MSCN06,1091A06T21,A0803CB1265,FBGA-96UEF,096EFMS002,0,0.000000
AAB090NC4006A,WINBOND,346.000000,BB597,P15ABE909,1091A08T21,A0803CB0622 ,VFBGA90B4L,090NCAB019,0,0.000000
AAB096EL1002A,WINBOND,195.000000,BB598,P16ABA704,1091A07T21,A0801CB1092,FBGA96UEL(2),096ELAB015,0,0.000000
AYZ084CC2002A,ZJP,444.000000,BB600,P10YZAN05,1091A08T21,A0801CB1043,FBGA-84UC(2),084UCYZ002,0,0.000000
